candidate_id,family,params_json,candidate_hash,live_known_claim,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,status,score,beats_pf12,note
P292_0001,pf12_fusion_preserving_variant,"{""bb_width_thresh"": 0.045, ""family"": ""pf12_fusion_preserving_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.2, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""bollinger_expansion_breakout"", ""time_stop"": 12, ""tp_atr_mult"": 1.8, ""volume_mult"": 0.8}",5dcaa10332f1e78a,closed-candle parameters only; performance assigned only if engine executed,3050.6568521308973,579,1.075134242874594,23.43333157400041,37,41,0,0.5025906735751295,291,288,150.0117061266374,-140.98176955111316,5.268837395735574,0.11781251891297435,235.48683269935015,-197.81710475013847,-6665.458247401937,ad88a601426771a25aad41d990948bf846f8bd6e4bd3c7984130326dba3db0a6,EXECUTED_ENGINE,-6843.6757206331695,NO,
P292_0002,dirty_pf8_pruning_research_variant,"{""bb_width_thresh"": 0.055, ""family"": ""dirty_pf8_pruning_research_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.2, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""atr_volatility_expansion"", ""time_stop"": 12, ""tp_atr_mult"": 1.8, ""volume_mult"": 0.8}",9c3d4997d902b294,closed-candle parameters only; performance assigned only if engine executed,-2463.3883985913417,188,0.7646110513425042,28.067429360305702,28,34,16,0.39893617021276595,75,113,106.69059325309854,-92.61223798737815,-13.10312977974118,-0.0376242529584499,155.93811632176477,-149.0676882932056,-5453.17498753425,4f4703a3b781f157aca53e168fae5dc25ba9e7ae51dd16e7db9fa99ef079a940,EXECUTED_ENGINE,-18787.143009414656,NO,
P292_0003,second_retest_variant,"{""bb_width_thresh"": 0.06, ""family"": ""second_retest_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.2, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""funding_extreme_reversal"", ""time_stop"": 12, ""tp_atr_mult"": 1.8, ""volume_mult"": 0.8}",ef5cf5326d6dc458,closed-candle parameters only; performance assigned only if engine executed,-6210.207189054657,445,0.6268152903889664,63.07260804941195,20,57,1,0.42696629213483145,190,255,54.89947982059907,-65.25924845085679,-13.955521773156532,-0.10438362663859083,126.64115071367364,-171.2290571325631,-14098.659052565945,346c0116a135b866d560ee35fcf633212437b1e6fadb33a60cf52e5168541dde,EXECUTED_ENGINE,-44461.700100935785,NO,
P292_0004,vwap_reclaim_variant,"{""bb_width_thresh"": 0.07, ""family"": ""vwap_reclaim_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.4, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""vwap_deviation_return"", ""time_stop"": 12, ""tp_atr_mult"": 1.8, ""volume_mult"": 0.8}",327bba77a6281465,closed-candle parameters only; performance assigned only if engine executed,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,EXECUTED_ENGINE,0.0,NO,
P292_0005,tokyo_london_breakout_variant,"{""bb_width_thresh"": 0.045, ""family"": ""tokyo_london_breakout_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.4, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""london_breakout_failure"", ""time_stop"": 12, ""tp_atr_mult"": 1.8, ""volume_mult"": 0.8}",8b6e050047bfb18e,closed-candle parameters only; performance assigned only if engine executed,-538.7945987507438,26,0.61058058885968,6.589373697939847,7,11,60,0.4230769230769231,11,15,76.79906734076799,-92.23895596661278,-20.722869182720917,-0.06503239086167512,124.54567579647875,-139.13778154280152,-1218.683941491699,02ea738a54c532d7281a3da43a06e51e0f59e4b295120e828adcd08943dae3fd,EXECUTED_ENGINE,-3905.316750987096,NO,
P292_0006,pullback_reclaim_variant,"{""bb_width_thresh"": 0.055, ""family"": ""pullback_reclaim_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.4, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""mtf_breakout"", ""time_stop"": 12, ""tp_atr_mult"": 2.0, ""volume_mult"": 0.8}",6604e989ea74f496,closed-candle parameters only; performance assigned only if engine executed,-7188.546252454724,482,0.6052781046105591,73.14744325178441,16,62,0,0.38381742738589214,185,297,59.584471201923314,-61.318765740102826,-14.913996374387393,-0.1553496009769942,171.24248688782674,-137.50353151187508,-15145.427663677097,4b1323d22ba8944b6cfad5f138ccca63c77bd88f62b14f94a372ca6cffac6298,EXECUTED_ENGINE,-51848.44633930106,NO,
P292_0007,funding_defensive_variant,"{""bb_width_thresh"": 0.06, ""family"": ""funding_defensive_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.6, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.1, ""template_type"": ""bollinger_expansion_breakout"", ""time_stop"": 12, ""tp_atr_mult"": 2.0, ""volume_mult"": 0.8}",85a945a77acb3f02,closed-candle parameters only; performance assigned only if engine executed,-7507.403267043021,441,0.5134198387178566,74.76132906561406,13,65,0,0.3356009070294785,148,293,53.523718454077326,-52.658408185141525,-17.023590174700725,-0.22685170576029354,159.58989162622908,-152.40214120452356,-14012.28754488716,ab34f092ac263f2f401a6369bcc8f7c449921e25f6fb75f7345b2f5044aedbeb,EXECUTED_ENGINE,-53536.95389087362,NO,
P292_0008,ny_hardening_variant,"{""bb_width_thresh"": 0.07, ""family"": ""ny_hardening_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.6, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.2, ""template_type"": ""atr_volatility_expansion"", ""time_stop"": 12, ""tp_atr_mult"": 2.0, ""volume_mult"": 0.8}",b671662daabff952,closed-candle parameters only; performance assigned only if engine executed,-5565.331731033786,294,0.5574617330482592,55.71717625413061,20,57,1,0.35034013605442177,103,191,68.0640929717158,-65.84258275979326,-18.92969976542104,-0.17997017419251146,154.523545860317,-127.38945791115617,-11029.803266908057,96dc951813126fb47faf516b23b6367efa6665310492cadeec27b902fc7f11de,EXECUTED_ENGINE,-39972.62626198009,NO,
P292_0009,weak_continuation_exit_variant,"{""bb_width_thresh"": 0.045, ""family"": ""weak_continuation_exit_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.6, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.2, ""template_type"": ""funding_extreme_reversal"", ""time_stop"": 12, ""tp_atr_mult"": 2.0, ""volume_mult"": 0.8}",3fc5a9494760d920,closed-candle parameters only; performance assigned only if engine executed,-5565.331731033786,294,0.5574617330482592,55.71717625413061,20,57,1,0.35034013605442177,103,191,68.0640929717158,-65.84258275979326,-18.92969976542104,-0.17997017419251146,154.523545860317,-127.38945791115617,-11029.803266908057,96dc951813126fb47faf516b23b6367efa6665310492cadeec27b902fc7f11de,EXECUTED_ENGINE,-39972.62626198009,NO,
P292_0010,multi_timeframe_confirmation_variant,"{""bb_width_thresh"": 0.055, ""family"": ""multi_timeframe_confirmation_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.8, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.2, ""template_type"": ""vwap_deviation_return"", ""time_stop"": 12, ""tp_atr_mult"": 2.0, ""volume_mult"": 0.8}",8f3c9b20a803885a,closed-candle parameters only; performance assigned only if engine executed,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,EXECUTED_ENGINE,0.0,NO,
P292_0011,expected_r_dynamic_gate_variant,"{""bb_width_thresh"": 0.06, ""family"": ""expected_r_dynamic_gate_variant"", ""funding_threshold"": 0.0002, ""min_expected_r"": 1.8, ""ny_expected_r"": 1.5, ""sl_atr_mult"": 1.2, ""template_type"": ""london_breakout_failure"", ""time_stop"": 12, ""tp_atr_mult"": 2.2, ""volume_mult"": 0.8}",71cd5c3597fcdc0c,closed-candle parameters only; performance assigned only if engine executed,-180.36016708589415,33,0.8876055527853113,8.767687579556526,12,17,49,0.42424242424242425,14,19,101.73906640787719,-84.45826825243024,-5.465459608663459,-0.03790609219877713,168.70013030652208,-167.8658444757496,-1249.0845666185796,0dc711bf026e177b9d8401bef04adff90abff36a8fcca5c95625e9dbc33d9577,EXECUTED_ENGINE,-4522.59946789243,NO,
