candidate_id,candidate_hash,family,hypothesis,primary_1h_setup,lower_tf_confirmation,quality_gates,exit_module,risk_module,portfolio_role,parameters_json,complexity_score,overfit_risk_score,live_known_proof,expected_failure_mode,backtest_pnl,backtest_trades,backtest_pf,backtest_dd,backtest_win_rate,backtest_avg_win,backtest_avg_loss,backtest_expectancy,backtest_pos_m,backtest_neg_m,backtest_zero_m,backtest_combined_adverse,accepted,rejection_reason
1250,542801df66ed57e7,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,none,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 10, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.1, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1251,98b19da8e041e1e6,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,none,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 10, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1252,17e6fedbc6ad24e4,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 10, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1253,1ca755724e164886,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 10, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1254,6c7ca84f4c8364c8,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 10, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,2,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1255,0163cf1979db8051,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,none,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.1, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1256,f04bd61ae3f6541a,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,none,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1257,3dc2f84a6e6c8a2c,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1258,f720eb60029fff8f,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,1,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
1259,e67a9328a8fd724a,trend_pullback_continuation,"Price above EMA200, pulls back to EMA50, continues trend.",trend_pullback_continuation,none,expected_r_gate|adx_gate,fixed_atr,fixed_risk_1pct,sleeve,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.08, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.5, ""trend_filter"": ""ema_200"", ""wick_ratio_thresh"": 0.45}",3,2,closed_candle_only_no_lookahead,Trend reversal: EMA50 pullback becomes new downtrend leg.,1170.73,175,1.1096,0.192,0.52,130.2144,-127.1283,6.6899,32,25,21,-1991.7,False,pnl=1170.73<=21684.99|pf=1.11<2.20|dd=19.20%>12%|stress=-1991.70<15922.97
